"","iso639_2code","iso639_1code","english_name_of_language","name"
"1","amh","am","Amharic","Amharic"
"2","ara","ar","Arabic","Arabic"
"3","bul","bg","Bulgarian","Bulgarian"
"4","ben","bn","Bengali","Bangla"
"5","tib","bo","Tibetan","Tibetan"
"6","bod","bo","Tibetan","Tibetan"
"7","cat","ca","Catalan; Valencian","Catalan"
"8","cze","cs","Czech","Czech"
"9","ces","cs","Czech","Czech"
"10","wel","cy","Welsh","Welsh"
"11","cym","cy","Welsh","Welsh"
"12","dan","da","Danish","Danish"
"13","ger","de","German","German"
"14","deu","de","German","German"
"15","div","dv","Divehi; Dhivehi; Maldivian","Maldivian"
"16","gre","el","Greek, Modern (1453-)","Greek"
"17","ell","el","Greek, Modern (1453-)","Greek"
"18","eng","en","English","English"
"19","spa","es","Spanish; Castilian","Spanish"
"20","est","et","Estonian","Estonian"
"21","baq","eu","Basque","Basque"
"22","eus","eu","Basque","Basque"
"23","per","fa","Persian","Persian"
"24","fas","fa","Persian","Persian"
"25","fin","fi","Finnish","Finnish"
"26","fre","fr","French","French"
"27","fra","fr","French","French"
"28","gle","ga","Irish","Irish"
"29","glg","gl","Galician","Galician"
"30","guj","gu","Gujarati","Gujarati"
"31","heb","he","Hebrew","Hebrew"
"32","hin","hi","Hindi","Hindi"
"33","hrv","hr","Croatian","Croatian"
"34","hat","ht","Haitian; Haitian Creole","Haitian"
"35","hun","hu","Hungarian","Hungarian"
"36","arm","hy","Armenian","Armenian"
"37","hye","hy","Armenian","Armenian"
"38","ind","id","Indonesian","Indonesian"
"39","ice","is","Icelandic","Icelandic"
"40","isl","is","Icelandic","Icelandic"
"41","ita","it","Italian","Italian"
"42","jpn","ja","Japanese","Japanese"
"43","geo","ka","Georgian","Georgian"
"44","kat","ka","Georgian","Georgian"
"45","khm","km","Central Khmer","Khmer"
"46","kan","kn","Kannada","Kannada"
"47","kor","ko","Korean","Korean"
"48","lao","lo","Lao","Lao"
"49","lit","lt","Lithuanian","Lithuanian"
"50","lav","lv","Latvian","Latvian"
"51","mal","ml","Malayalam","Malayalam"
"52","mar","mr","Marathi","Marathi"
"53","bur","my","Burmese","Burmese"
"54","mya","my","Burmese","Burmese"
"55","nep","ne","Nepali","Nepali"
"56","dut","nl","Dutch; Flemish","Dutch"
"57","nld","nl","Dutch; Flemish","Dutch"
"58","nor","no","Norwegian","Norwegian"
"59","ori","or","Oriya","Oriya"
"60","pan","pa","Panjabi; Punjabi","Panjabi"
"61","pol","pl","Polish","Polish"
"62","pus","ps","Pushto; Pashto","Pashto"
"63","por","pt","Portuguese","Portuguese"
"64","rum","ro","Romanian; Moldavian; Moldovan","Romanian"
"65","ron","ro","Romanian; Moldavian; Moldovan","Romanian"
"66","rus","ru","Russian","Russian"
"67","snd","sd","Sindhi","Sindhi"
"68","sin","si","Sinhala; Sinhalese","Sinhala"
"69","slo","sk","Slovak","Slovak"
"70","slv","sl","Slovenian","Slovenian"
"71","srp","sr","Serbian","Serbian"
"72","swe","sv","Swedish","Swedish"
"73","tam","ta","Tamil","Tamil"
"74","tel","te","Telugu","Telugu"
"75","tha","th","Thai","Thai"
"76","tgl","tl","Tagalog","Tagalog"
"77","tur","tr","Turkish","Turkish"
"78","uig","ug","Uighur; Uyghur","Uyghur"
"79","ukr","uk","Ukrainian","Ukrainian"
"80","urd","ur","Urdu","Urdu"
"81","vie","vi","Vietnamese","Vietnamese"
"82","chi","zh","Chinese","Chinese"
"83","zho","zh","Chinese","Chinese"
