language_code,geocode,present,city,country
,,,,
fr,"40.73,-73.94,20mi",not present,New York,NY
en,"40.73,-73.94,20mi",present,New York,NY
ar,"40.73,-73.94,20mi",present,New York,NY
ja,"40.73,-73.94,20mi",present,New York,NY
es,"40.73,-73.94,20mi",present,New York,NY
de,"40.73,-73.94,20mi",not present,New York,NY
it,"40.73,-73.94,20mi",not present,New York,NY
id,"40.73,-73.94,20mi",present,New York,NY
pt,"40.73,-73.94,20mi",present,New York,NY
ko,"40.73,-73.94,20mi",present,New York,NY
tr,"40.73,-73.94,20mi",present,New York,NY
ru,"40.73,-73.94,20mi",present,New York,NY
nl,"40.73,-73.94,20mi",present,New York,NY
fil,"40.73,-73.94,20mi",present,New York,NY
msa,"40.73,-73.94,20mi",not present,New York,NY
zh-tw,"40.73,-73.94,20mi",present,New York,NY
zh-cn,"40.73,-73.94,20mi",present,New York,NY
hi,"40.73,-73.94,20mi",present,New York,NY
no,"40.73,-73.94,20mi",present,New York,NY
sv,"40.73,-73.94,20mi",present,New York,NY
fi,"40.73,-73.94,20mi",present,New York,NY
da,"40.73,-73.94,20mi",present,New York,NY
pl,"40.73,-73.94,20mi",present,New York,NY
hu,"40.73,-73.94,20mi",present,New York,NY
fa,"40.73,-73.94,20mi",present,New York,NY
he,"40.73,-73.94,20mi",present,New York,NY
ur,"40.73,-73.94,20mi",present,New York,NY
th,"40.73,-73.94,20mi",present,New York,NY
uk,"40.73,-73.94,20mi",present,New York,NY
ca,"40.73,-73.94,20mi",present,New York,NY
ga,"40.73,-73.94,20mi",not present,New York,NY
el,"40.73,-73.94,20mi",present,New York,NY
eu,"40.73,-73.94,20mi",present,New York,NY
cs,"40.73,-73.94,20mi",present,New York,NY
gl,"40.73,-73.94,20mi",present,New York,NY
ro,"40.73,-73.94,20mi",present,New York,NY
hr,"40.73,-73.94,20mi",not present,New York,NY
en-gb,"40.73,-73.94,20mi",present,New York,NY
vi,"40.73,-73.94,20mi",present,New York,NY
bn,"40.73,-73.94,20mi",present,New York,NY
bg,"40.73,-73.94,20mi",present,New York,NY
sr,"40.73,-73.94,20mi",present,New York,NY
sk,"40.73,-73.94,20mi",not present,New York,NY
gu,"40.73,-73.94,20mi",present,New York,NY
mr,"40.73,-73.94,20mi",present,New York,NY
ta,"40.73,-73.94,20mi",not present,New York,NY
kn,"40.73,-73.94,20mi",present,New York,NY
am,"40.73,-73.94,20mi",present,New York,NY
hn,"40.73,-73.94,20mi",not present,New York,NY
is,"40.73,-73.94,20mi",present,New York,NY
hy,"40.73,-73.94,20mi",present,New York,NY
in,"40.73,-73.94,20mi",present,New York,NY
sd,"40.73,-73.94,20mi",present,New York,NY
my,"40.73,-73.94,20mi",present,New York,NY
si,"40.73,-73.94,20mi",present,New York,NY
zh,"40.73,-73.94,20mi",present,New York,NY
km,"40.73,-73.94,20mi",present,New York,NY
sl,"40.73,-73.94,20mi",present,New York,NY
lo,"40.73,-73.94,20mi",not present,New York,NY
ckb,"40.73,-73.94,20mi",not present,New York,NY
lv,"40.73,-73.94,20mi",present,New York,NY
lt,"40.73,-73.94,20mi",present,New York,NY
et,"40.73,-73.94,20mi",not present,New York,NY
ml,"40.73,-73.94,20mi",present,New York,NY
tl,"40.73,-73.94,20mi",present,New York,NY
dv,"40.73,-73.94,20mi",present,New York,NY
te,"40.73,-73.94,20mi",present,New York,NY
ka,"40.73,-73.94,20mi",present,New York,NY
ne,"40.73,-73.94,20mi",present,New York,NY
bo,"40.73,-73.94,20mi",present,New York,NY
or,"40.73,-73.94,20mi",present,New York,NY
pa,"40.73,-73.94,20mi",present,New York,NY
ht,"40.73,-73.94,20mi",present,New York,NY
ps,"40.73,-73.94,20mi",present,New York,NY
iw,"40.73,-73.94,20mi",present,New York,NY
ug,"40.73,-73.94,20mi",not present,New York,NY
cy,"40.73,-73.94,20mi",present,New York,NY
